Manual_Feature,Rank,Interm,Correlation
Elongation_L1,1,interm_48,0.5926
Elongation_L1,2,interm_122,0.5886
Elongation_L1,3,interm_252,0.5796
Elongation_L1,4,interm_165,0.5697
Elongation_L1,5,interm_89,0.569
Elongation_L2,1,interm_23,0.3995
Elongation_L2,2,interm_188,-0.3942
Elongation_L2,3,interm_97,-0.3759
Elongation_L2,4,interm_165,-0.367
Elongation_L2,5,interm_144,-0.3645
Elongation_L3,1,interm_205,0.3905
Elongation_L3,2,interm_23,0.3127
Elongation_L3,3,interm_173,-0.302
Elongation_L3,4,interm_171,-0.287
Elongation_L3,5,interm_97,-0.2839
area_L1,1,interm_138,0.4718
area_L1,2,interm_24,0.4546
area_L1,3,interm_49,0.4393
area_L1,4,interm_170,0.4331
area_L1,5,interm_42,0.4285
area_L2,1,interm_215,0.5538
area_L2,2,interm_109,0.5091
area_L2,3,interm_252,0.4877
area_L2,4,interm_185,0.4601
area_L2,5,interm_58,0.4511
area_L3,1,interm_9,0.7524
area_L3,2,interm_5,0.7155
area_L3,3,interm_174,0.6948
area_L3,4,interm_123,0.677
area_L3,5,interm_96,0.6764
centroid_radius_L1,1,interm_138,0.5386
centroid_radius_L1,2,interm_24,0.5074
centroid_radius_L1,3,interm_170,0.5004
centroid_radius_L1,4,interm_49,0.4898
centroid_radius_L1,5,interm_253,0.4829
centroid_radius_L2,1,interm_5,0.7237
centroid_radius_L2,2,interm_185,0.6756
centroid_radius_L2,3,interm_96,0.6744
centroid_radius_L2,4,interm_252,0.6694
centroid_radius_L2,5,interm_64,0.661
centroid_radius_L3,1,interm_9,0.8178
centroid_radius_L3,2,interm_5,0.7558
centroid_radius_L3,3,interm_123,0.7468
centroid_radius_L3,4,interm_117,0.7425
centroid_radius_L3,5,interm_174,0.733
circularity_L1,1,interm_144,-0.6823
circularity_L1,2,interm_165,-0.6789
circularity_L1,3,interm_252,-0.6621
circularity_L1,4,interm_220,-0.6561
circularity_L1,5,interm_5,-0.6372
circularity_L2,1,interm_93,0.8199
circularity_L2,2,interm_12,-0.8131
circularity_L2,3,interm_99,-0.8008
circularity_L2,4,interm_244,-0.7831
circularity_L2,5,interm_115,-0.7769
circularity_L3,1,interm_174,-0.4295
circularity_L3,2,interm_185,-0.4003
circularity_L3,3,interm_159,-0.3833
circularity_L3,4,interm_5,-0.3753
circularity_L3,5,interm_7,-0.3692
convexity_L1,1,interm_144,-0.6756
convexity_L1,2,interm_165,-0.6555
convexity_L1,3,interm_163,0.639
convexity_L1,4,interm_102,0.6371
convexity_L1,5,interm_36,-0.6297
convexity_L2,1,interm_99,-0.8188
convexity_L2,2,interm_93,0.8159
convexity_L2,3,interm_12,-0.7905
convexity_L2,4,interm_113,0.7741
convexity_L2,5,interm_171,-0.7722
convexity_L3,1,interm_117,0.6971
convexity_L3,2,interm_164,0.6891
convexity_L3,3,interm_9,0.6845
convexity_L3,4,interm_65,0.6764
convexity_L3,5,interm_134,0.6692
curvature_L1,1,interm_154,0.3171
curvature_L1,2,interm_39,-0.3128
curvature_L1,3,interm_58,0.3085
curvature_L1,4,interm_90,-0.3077
curvature_L1,5,interm_24,-0.3075
curvature_L2,1,interm_146,-0.2931
curvature_L2,2,interm_120,-0.2575
curvature_L2,3,interm_7,-0.2459
curvature_L2,4,interm_161,0.2392
curvature_L2,5,interm_107,-0.2356
curvature_L3,1,interm_145,0.2614
curvature_L3,2,interm_214,0.2518
curvature_L3,3,interm_73,0.2501
curvature_L3,4,interm_57,0.2111
curvature_L3,5,interm_15,0.1884
eccentricity_L1,1,interm_165,0.5789
eccentricity_L1,2,interm_252,0.5525
eccentricity_L1,3,interm_122,0.5515
eccentricity_L1,4,interm_144,0.5395
eccentricity_L1,5,interm_64,0.5271
eccentricity_L2,1,interm_23,0.3617
eccentricity_L2,2,interm_188,-0.3617
eccentricity_L2,3,interm_97,-0.3445
eccentricity_L2,4,interm_144,-0.3403
eccentricity_L2,5,interm_165,-0.3286
eccentricity_L3,1,interm_205,0.3756
eccentricity_L3,2,interm_210,0.3095
eccentricity_L3,3,interm_173,-0.294
eccentricity_L3,4,interm_171,-0.2893
eccentricity_L3,5,interm_27,0.286
max_distance_L1,1,interm_224,0.4726
max_distance_L1,2,interm_253,0.4718
max_distance_L1,3,interm_114,0.429
max_distance_L1,4,interm_241,0.4131
max_distance_L1,5,interm_9,0.4109
max_distance_L2,1,interm_5,0.6972
max_distance_L2,2,interm_185,0.6629
max_distance_L2,3,interm_252,0.6579
max_distance_L2,4,interm_9,0.6398
max_distance_L2,5,interm_96,0.6337
max_distance_L3,1,interm_9,0.7961
max_distance_L3,2,interm_5,0.7296
max_distance_L3,3,interm_174,0.7282
max_distance_L3,4,interm_123,0.7022
max_distance_L3,5,interm_164,0.6984
min_distance_L1,1,interm_25,0.416
min_distance_L1,2,interm_21,0.3921
min_distance_L1,3,interm_163,0.3848
min_distance_L1,4,interm_138,0.3816
min_distance_L1,5,interm_130,0.3738
min_distance_L2,1,interm_5,0.7295
min_distance_L2,2,interm_96,0.6874
min_distance_L2,3,interm_185,0.674
min_distance_L2,4,interm_64,0.669
min_distance_L2,5,interm_252,0.6672
min_distance_L3,1,interm_9,0.8145
min_distance_L3,2,interm_123,0.7588
min_distance_L3,3,interm_117,0.754
min_distance_L3,4,interm_5,0.753
min_distance_L3,5,interm_164,0.7387
perimeter_L1,1,interm_138,0.5054
perimeter_L1,2,interm_253,0.5008
perimeter_L1,3,interm_170,0.4866
perimeter_L1,4,interm_24,0.4806
perimeter_L1,5,interm_76,0.4711
perimeter_L2,1,interm_5,0.7549
perimeter_L2,2,interm_9,0.7238
perimeter_L2,3,interm_96,0.7101
perimeter_L2,4,interm_64,0.6886
perimeter_L2,5,interm_174,0.6857
perimeter_L3,1,interm_9,0.8161
perimeter_L3,2,interm_5,0.7572
perimeter_L3,3,interm_123,0.7442
perimeter_L3,4,interm_117,0.7378
perimeter_L3,5,interm_174,0.7364
solidity_L1,1,interm_144,-0.6756
solidity_L1,2,interm_165,-0.6555
solidity_L1,3,interm_163,0.639
solidity_L1,4,interm_102,0.6371
solidity_L1,5,interm_36,-0.6297
solidity_L2,1,interm_99,-0.8188
solidity_L2,2,interm_93,0.8159
solidity_L2,3,interm_12,-0.7905
solidity_L2,4,interm_113,0.7741
solidity_L2,5,interm_171,-0.7722
solidity_L3,1,interm_117,0.6971
solidity_L3,2,interm_164,0.6891
solidity_L3,3,interm_9,0.6845
solidity_L3,4,interm_65,0.6764
solidity_L3,5,interm_134,0.6692
