Manual_Feature,Rank,Interm,Correlation
Elongation_L1,1,interm_139,0.5429
Elongation_L1,2,interm_44,0.504
Elongation_L1,3,interm_38,-0.5019
Elongation_L1,4,interm_101,0.4883
Elongation_L1,5,interm_239,0.4882
Elongation_L2,1,interm_252,-0.3045
Elongation_L2,2,interm_144,-0.2954
Elongation_L2,3,interm_165,-0.286
Elongation_L2,4,interm_215,-0.2739
Elongation_L2,5,interm_107,-0.2699
Elongation_L3,1,interm_165,-0.3548
Elongation_L3,2,interm_188,-0.3294
Elongation_L3,3,interm_97,-0.3271
Elongation_L3,4,interm_7,-0.3153
Elongation_L3,5,interm_32,-0.3134
area_L1,1,interm_24,0.5929
area_L1,2,interm_138,0.5868
area_L1,3,interm_163,0.5146
area_L1,4,interm_170,0.5132
area_L1,5,interm_126,0.5015
area_L2,1,interm_48,0.5638
area_L2,2,interm_215,0.5508
area_L2,3,interm_174,0.515
area_L2,4,interm_180,0.4939
area_L2,5,interm_109,0.4692
area_L3,1,interm_9,0.7993
area_L3,2,interm_117,0.7932
area_L3,3,interm_123,0.7907
area_L3,4,interm_164,0.7828
area_L3,5,interm_224,0.7705
centroid_radius_L1,1,interm_24,0.6224
centroid_radius_L1,2,interm_138,0.5771
centroid_radius_L1,3,interm_170,0.574
centroid_radius_L1,4,interm_253,0.5709
centroid_radius_L1,5,interm_126,0.5559
centroid_radius_L2,1,interm_9,0.626
centroid_radius_L2,2,interm_96,0.6244
centroid_radius_L2,3,interm_48,0.603
centroid_radius_L2,4,interm_239,0.5945
centroid_radius_L2,5,interm_55,0.5934
centroid_radius_L3,1,interm_134,0.8054
centroid_radius_L3,2,interm_164,0.8025
centroid_radius_L3,3,interm_117,0.7957
centroid_radius_L3,4,interm_9,0.7856
centroid_radius_L3,5,interm_65,0.7853
circularity_L1,1,interm_239,-0.4091
circularity_L1,2,interm_26,-0.3921
circularity_L1,3,interm_165,-0.3871
circularity_L1,4,interm_232,-0.3852
circularity_L1,5,interm_65,-0.379
circularity_L2,1,interm_45,0.7415
circularity_L2,2,interm_169,0.7371
circularity_L2,3,interm_182,0.7348
circularity_L2,4,interm_134,-0.7239
circularity_L2,5,interm_29,0.7108
circularity_L3,1,interm_106,-0.4507
circularity_L3,2,interm_192,-0.4247
circularity_L3,3,interm_134,-0.4029
circularity_L3,4,interm_182,0.3787
circularity_L3,5,interm_188,-0.3727
convexity_L1,1,interm_141,0.4848
convexity_L1,2,interm_16,0.4844
convexity_L1,3,interm_139,-0.4814
convexity_L1,4,interm_38,0.4758
convexity_L1,5,interm_95,0.4742
convexity_L2,1,interm_134,-0.8469
convexity_L2,2,interm_244,-0.8214
convexity_L2,3,interm_99,-0.8147
convexity_L2,4,interm_61,0.8091
convexity_L2,5,interm_34,-0.8084
convexity_L3,1,interm_134,0.467
convexity_L3,2,interm_32,0.456
convexity_L3,3,interm_173,0.4501
convexity_L3,4,interm_117,0.4431
convexity_L3,5,interm_192,0.4424
curvature_L1,1,interm_106,-0.3264
curvature_L1,2,interm_126,-0.3207
curvature_L1,3,interm_24,-0.3131
curvature_L1,4,interm_170,-0.3093
curvature_L1,5,interm_196,-0.2909
curvature_L2,1,interm_44,-0.1729
curvature_L2,2,interm_218,0.1556
curvature_L2,3,interm_177,-0.154
curvature_L2,4,interm_152,-0.1539
curvature_L2,5,interm_89,-0.1505
curvature_L3,1,interm_239,-0.2414
curvature_L3,2,interm_32,-0.2405
curvature_L3,3,interm_192,-0.2387
curvature_L3,4,interm_44,-0.237
curvature_L3,5,interm_181,-0.2327
eccentricity_L1,1,interm_152,0.5144
eccentricity_L1,2,interm_139,0.512
eccentricity_L1,3,interm_44,0.5057
eccentricity_L1,4,interm_26,0.5043
eccentricity_L1,5,interm_46,-0.4977
eccentricity_L2,1,interm_144,-0.2888
eccentricity_L2,2,interm_252,-0.2885
eccentricity_L2,3,interm_165,-0.2734
eccentricity_L2,4,interm_215,-0.2625
eccentricity_L2,5,interm_107,-0.25
eccentricity_L3,1,interm_165,-0.377
eccentricity_L3,2,interm_36,-0.3461
eccentricity_L3,3,interm_144,-0.3386
eccentricity_L3,4,interm_97,-0.3361
eccentricity_L3,5,interm_146,-0.3356
max_distance_L1,1,interm_253,0.4225
max_distance_L1,2,interm_24,0.4061
max_distance_L1,3,interm_106,0.3767
max_distance_L1,4,interm_170,0.3767
max_distance_L1,5,interm_224,0.3718
max_distance_L2,1,interm_9,0.6085
max_distance_L2,2,interm_96,0.5868
max_distance_L2,3,interm_48,0.5822
max_distance_L2,4,interm_239,0.5685
max_distance_L2,5,interm_44,0.5588
max_distance_L3,1,interm_134,0.7845
max_distance_L3,2,interm_164,0.7765
max_distance_L3,3,interm_117,0.7609
max_distance_L3,4,interm_65,0.7587
max_distance_L3,5,interm_9,0.7557
min_distance_L1,1,interm_138,0.1955
min_distance_L1,2,interm_141,0.184
min_distance_L1,3,interm_86,0.1819
min_distance_L1,4,interm_10,0.1797
min_distance_L1,5,interm_163,0.1744
min_distance_L2,1,interm_96,0.6263
min_distance_L2,2,interm_9,0.6166
min_distance_L2,3,interm_55,0.5999
min_distance_L2,4,interm_48,0.5963
min_distance_L2,5,interm_44,0.5926
min_distance_L3,1,interm_164,0.8072
min_distance_L3,2,interm_134,0.8069
min_distance_L3,3,interm_117,0.8048
min_distance_L3,4,interm_9,0.7918
min_distance_L3,5,interm_123,0.7909
perimeter_L1,1,interm_24,0.6019
perimeter_L1,2,interm_253,0.5754
perimeter_L1,3,interm_170,0.5683
perimeter_L1,4,interm_126,0.5435
perimeter_L1,5,interm_138,0.5427
perimeter_L2,1,interm_9,0.7153
perimeter_L2,2,interm_164,0.6797
perimeter_L2,3,interm_123,0.6744
perimeter_L2,4,interm_117,0.6716
perimeter_L2,5,interm_65,0.6687
perimeter_L3,1,interm_134,0.8033
perimeter_L3,2,interm_164,0.7992
perimeter_L3,3,interm_117,0.7908
perimeter_L3,4,interm_9,0.7822
perimeter_L3,5,interm_65,0.782
solidity_L1,1,interm_141,0.4848
solidity_L1,2,interm_16,0.4844
solidity_L1,3,interm_139,-0.4814
solidity_L1,4,interm_38,0.4758
solidity_L1,5,interm_95,0.4742
solidity_L2,1,interm_134,-0.8469
solidity_L2,2,interm_244,-0.8214
solidity_L2,3,interm_99,-0.8147
solidity_L2,4,interm_61,0.8091
solidity_L2,5,interm_34,-0.8084
solidity_L3,1,interm_134,0.467
solidity_L3,2,interm_32,0.456
solidity_L3,3,interm_173,0.4501
solidity_L3,4,interm_117,0.4431
solidity_L3,5,interm_192,0.4424
