Manual_Feature,Rank,Interm,Correlation
Elongation_L1,1,interm_96,0.3727
Elongation_L1,2,interm_89,0.3725
Elongation_L1,3,interm_48,0.3681
Elongation_L1,4,interm_122,0.3675
Elongation_L1,5,interm_152,0.3626
Elongation_L2,1,interm_92,-0.2467
Elongation_L2,2,interm_165,-0.2456
Elongation_L2,3,interm_117,-0.2454
Elongation_L2,4,interm_188,-0.2409
Elongation_L2,5,interm_97,-0.2406
Elongation_L3,1,interm_97,-0.29
Elongation_L3,2,interm_173,-0.2817
Elongation_L3,3,interm_65,-0.2808
Elongation_L3,4,interm_134,-0.2774
Elongation_L3,5,interm_171,-0.2696
area_L1,1,interm_170,0.6706
area_L1,2,interm_138,0.6532
area_L1,3,interm_24,0.6456
area_L1,4,interm_253,0.6256
area_L1,5,interm_49,0.616
area_L2,1,interm_215,0.5647
area_L2,2,interm_252,0.5177
area_L2,3,interm_165,0.4877
area_L2,4,interm_5,0.4814
area_L2,5,interm_7,0.4799
area_L3,1,interm_123,0.7475
area_L3,2,interm_9,0.7456
area_L3,3,interm_241,0.7089
area_L3,4,interm_117,0.7079
area_L3,5,interm_174,0.7067
centroid_radius_L1,1,interm_170,0.7508
centroid_radius_L1,2,interm_253,0.7132
centroid_radius_L1,3,interm_24,0.7051
centroid_radius_L1,4,interm_224,0.6998
centroid_radius_L1,5,interm_138,0.6951
centroid_radius_L2,1,interm_9,0.7105
centroid_radius_L2,2,interm_123,0.7064
centroid_radius_L2,3,interm_36,0.6976
centroid_radius_L2,4,interm_165,0.6942
centroid_radius_L2,5,interm_241,0.687
centroid_radius_L3,1,interm_123,0.8012
centroid_radius_L3,2,interm_9,0.7816
centroid_radius_L3,3,interm_164,0.775
centroid_radius_L3,4,interm_117,0.7681
centroid_radius_L3,5,interm_241,0.7612
circularity_L1,1,interm_165,-0.4623
circularity_L1,2,interm_7,-0.4545
circularity_L1,3,interm_146,-0.4242
circularity_L1,4,interm_122,-0.4214
circularity_L1,5,interm_117,-0.4177
circularity_L2,1,interm_244,-0.7068
circularity_L2,2,interm_99,-0.6794
circularity_L2,3,interm_34,-0.6763
circularity_L2,4,interm_164,-0.6759
circularity_L2,5,interm_134,-0.6739
circularity_L3,1,interm_159,-0.4056
circularity_L3,2,interm_7,-0.4031
circularity_L3,3,interm_164,-0.3997
circularity_L3,4,interm_192,-0.3908
circularity_L3,5,interm_241,-0.3861
convexity_L1,1,interm_102,0.4684
convexity_L1,2,interm_141,0.4631
convexity_L1,3,interm_163,0.4548
convexity_L1,4,interm_95,0.4517
convexity_L1,5,interm_10,0.4501
convexity_L2,1,interm_99,-0.7072
convexity_L2,2,interm_244,-0.6856
convexity_L2,3,interm_164,-0.6627
convexity_L2,4,interm_171,-0.6556
convexity_L2,5,interm_34,-0.6541
convexity_L3,1,interm_164,0.5219
convexity_L3,2,interm_117,0.5217
convexity_L3,3,interm_123,0.5078
convexity_L3,4,interm_34,0.5053
convexity_L3,5,interm_134,0.5052
curvature_L1,1,interm_244,-0.3735
curvature_L1,2,interm_170,-0.3729
curvature_L1,3,interm_114,-0.3718
curvature_L1,4,interm_24,-0.3639
curvature_L1,5,interm_90,-0.3612
curvature_L2,1,interm_146,-0.1301
curvature_L2,2,interm_37,-0.127
curvature_L2,3,interm_252,-0.1214
curvature_L2,4,interm_122,-0.1196
curvature_L2,5,interm_108,0.1188
curvature_L3,1,interm_164,-0.1439
curvature_L3,2,interm_97,-0.1329
curvature_L3,3,interm_35,0.1311
curvature_L3,4,interm_176,-0.1305
curvature_L3,5,interm_65,-0.126
eccentricity_L1,1,interm_165,0.4245
eccentricity_L1,2,interm_36,0.4085
eccentricity_L1,3,interm_252,0.3959
eccentricity_L1,4,interm_64,0.3854
eccentricity_L1,5,interm_144,0.3806
eccentricity_L2,1,interm_92,-0.2295
eccentricity_L2,2,interm_117,-0.2267
eccentricity_L2,3,interm_97,-0.2232
eccentricity_L2,4,interm_165,-0.2163
eccentricity_L2,5,interm_188,-0.2161
eccentricity_L3,1,interm_167,-0.2512
eccentricity_L3,2,interm_99,-0.2508
eccentricity_L3,3,interm_171,-0.2493
eccentricity_L3,4,interm_97,-0.2483
eccentricity_L3,5,interm_173,-0.2445
max_distance_L1,1,interm_224,0.6468
max_distance_L1,2,interm_253,0.6335
max_distance_L1,3,interm_241,0.6093
max_distance_L1,4,interm_170,0.6085
max_distance_L1,5,interm_114,0.5941
max_distance_L2,1,interm_9,0.6931
max_distance_L2,2,interm_123,0.6749
max_distance_L2,3,interm_241,0.6653
max_distance_L2,4,interm_165,0.6627
max_distance_L2,5,interm_36,0.6622
max_distance_L3,1,interm_123,0.772
max_distance_L3,2,interm_9,0.7668
max_distance_L3,3,interm_164,0.7525
max_distance_L3,4,interm_241,0.744
max_distance_L3,5,interm_159,0.739
min_distance_L1,1,interm_138,0.3069
min_distance_L1,2,interm_170,0.2923
min_distance_L1,3,interm_24,0.2884
min_distance_L1,4,interm_253,0.2685
min_distance_L1,5,interm_49,0.265
min_distance_L2,1,interm_123,0.7084
min_distance_L2,2,interm_9,0.7062
min_distance_L2,3,interm_36,0.7037
min_distance_L2,4,interm_165,0.6961
min_distance_L2,5,interm_241,0.684
min_distance_L3,1,interm_123,0.8042
min_distance_L3,2,interm_164,0.7741
min_distance_L3,3,interm_9,0.7739
min_distance_L3,4,interm_117,0.7709
min_distance_L3,5,interm_241,0.759
perimeter_L1,1,interm_170,0.7501
perimeter_L1,2,interm_253,0.7182
perimeter_L1,3,interm_224,0.7152
perimeter_L1,4,interm_114,0.7007
perimeter_L1,5,interm_24,0.6963
perimeter_L2,1,interm_123,0.7526
perimeter_L2,2,interm_9,0.7436
perimeter_L2,3,interm_241,0.7296
perimeter_L2,4,interm_36,0.7228
perimeter_L2,5,interm_159,0.7157
perimeter_L3,1,interm_123,0.7996
perimeter_L3,2,interm_9,0.7821
perimeter_L3,3,interm_164,0.7734
perimeter_L3,4,interm_117,0.7648
perimeter_L3,5,interm_241,0.7605
solidity_L1,1,interm_102,0.4684
solidity_L1,2,interm_141,0.4631
solidity_L1,3,interm_163,0.4548
solidity_L1,4,interm_95,0.4517
solidity_L1,5,interm_10,0.4501
solidity_L2,1,interm_99,-0.7072
solidity_L2,2,interm_244,-0.6856
solidity_L2,3,interm_164,-0.6627
solidity_L2,4,interm_171,-0.6556
solidity_L2,5,interm_34,-0.6541
solidity_L3,1,interm_164,0.5219
solidity_L3,2,interm_117,0.5217
solidity_L3,3,interm_123,0.5078
solidity_L3,4,interm_34,0.5053
solidity_L3,5,interm_134,0.5052
