Manual_Feature,R2_mean,R2_std,N
convexity_L2,0.6974508956883386,0.18869567682618232,100
solidity_L2,0.6974508956883385,0.18869567682618246,100
circularity_L2,0.6579531346237693,0.24372712514160774,100
centroid_radius_L3,0.6562379238061132,0.271638197757806,100
perimeter_L3,0.6490608895502352,0.2668754937932231,100
min_distance_L3,0.6461485691548747,0.29365873909614004,100
area_L3,0.6336305710818138,0.2770369819327996,100
max_distance_L3,0.6199727506846484,0.26554844310225817,100
perimeter_L2,0.59453645996375,0.24605586941177132,100
min_distance_L2,0.5649365066917958,0.2157930318586269,100
centroid_radius_L2,0.5512118995200781,0.22908631917737413,100
max_distance_L2,0.5011593663075684,0.20564477851280025,100
circularity_L1,0.45947759231988367,0.11493182947814852,100
convexity_L1,0.38619592289535304,0.17444799318269075,100
solidity_L1,0.38619592289535254,0.17444799318269122,100
solidity_L3,0.38589147493360654,0.2950593881208893,100
convexity_L3,0.3858914749336003,0.295059388120905,100
Elongation_L1,0.3732104404895205,0.15977659800680863,100
centroid_radius_L1,0.2590526444266204,0.1934654058847017,100
eccentricity_L1,0.24601916110737596,0.08912878452337272,100
perimeter_L1,0.210209976377924,0.19081583996774232,100
area_L2,0.18401011808132756,0.17401494331766929,100
max_distance_L1,0.17334700569806236,0.19268408190209946,100
area_L1,0.05558203241818338,0.22370077580134656,100
curvature_L1,0.05459703964130236,0.14711817468684926,100
min_distance_L1,0.02533713232166417,0.19987457224955663,100
circularity_L3,0.022771587980535135,0.18733562101748072,100
eccentricity_L3,-0.018211629548040387,0.17915716234553405,100
Elongation_L3,-0.07021757409302568,0.24251126338751497,100
eccentricity_L2,-0.07232188642819726,0.17744052253705683,100
curvature_L2,-0.10142323447595052,0.15111002559026787,100
Elongation_L2,-0.19183397422175202,0.3585919381953523,100
curvature_L3,-0.2391987908642433,0.25058485855504714,100
