Manual_Feature,R2_mean,R2_std,N
convexity_L2,0.8799347056210388,0.013661703661260497,863
solidity_L2,0.8799347056210388,0.01366170366126047,863
centroid_radius_L3,0.8338800977153275,0.08950020262418752,856
min_distance_L3,0.8322565857732751,0.0838417277170726,856
perimeter_L3,0.8300407362440969,0.09072440538934647,856
max_distance_L3,0.8007350693663853,0.08592661075492525,856
area_L3,0.793486866888107,0.1592302442719424,856
circularity_L2,0.784460174365358,0.026167725930432095,863
perimeter_L2,0.7604028301005265,0.09700003513323974,863
centroid_radius_L2,0.7242637126450315,0.1309266221294421,863
min_distance_L2,0.7119313993343624,0.1216209277173462,863
max_distance_L2,0.6759619636977522,0.136239007735464,863
centroid_radius_L1,0.6598740189841217,0.0636001324926981,691
perimeter_L1,0.6490587967960099,0.059889636433943315,691
area_L1,0.5826348207795318,0.1561048546545644,691
area_L2,0.5538416257939873,0.19428277569511954,863
circularity_L3,0.36628323737256663,0.05165525151166976,856
Elongation_L1,0.3342742860892476,0.05192209977684314,691
solidity_L1,0.3110438040640798,0.09618797671980642,691
convexity_L1,0.31104380406407967,0.09618797671980636,691
convexity_L3,0.2707577455627928,0.081346971701908,856
solidity_L3,0.27075774556279175,0.08134697170190858,856
curvature_L1,0.2511183251623322,0.062347208304657474,686
eccentricity_L1,0.24728387472457442,0.14843510751429537,691
max_distance_L1,0.23341881943270906,0.0711937195836965,691
circularity_L1,0.22817322048838534,0.10966397076808777,691
Elongation_L3,0.13530131477500165,0.06499940563763407,856
eccentricity_L3,0.12300969731801534,0.07198339986516132,856
eccentricity_L2,0.1025313700140057,0.07057310538999294,863
curvature_L3,0.10232303322382241,0.07839222205918578,856
Elongation_L2,0.0929154771962671,0.08924619404147088,863
curvature_L2,-0.04050371278911138,0.03197429025337525,862
min_distance_L1,-1.167425130966953,1.368568722453866,691
